Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Riyadh,15.8,94,21.0,0.0,Cloudy
2025-01-01,Jeddah,31.5,54,25.3,3.71,Windy
2025-01-01,Dammam,30.4,33,8.6,3.14,Partly Cloudy
2025-01-01,Dubai,34.0,37,18.7,0.0,Foggy
2025-01-01,Doha,28.3,32,6.8,0.0,Rainy
2025-01-01,Cairo,12.8,60,17.8,9.14,Sunny
2025-01-01,London,22.9,55,4.0,2.92,Partly Cloudy
2025-01-01,New York,12.3,94,14.2,3.37,Sunny
2025-01-01,Tokyo,41.1,47,10.6,0.0,Foggy
2025-01-01,Paris,34.2,24,33.8,2.77,Sunny
2025-01-01,Sydney,10.0,65,22.6,0.0,Rainy
2025-01-01,Toronto,35.4,62,11.1,15.56,Sunny
2025-01-01,Berlin,25.6,28,8.9,0.0,Rainy
2025-01-01,Mumbai,19.1,62,37.7,0.0,Sunny
2025-01-01,Singapore,11.9,95,5.4,2.2,Rainy
2025-01-02,Riyadh,40.7,79,35.8,1.95,Windy
2025-01-02,Jeddah,13.7,23,19.3,11.3,Partly Cloudy
2025-01-02,Dammam,43.7,39,13.1,2.27,Cloudy
2025-01-02,Dubai,16.0,20,12.0,0.0,Stormy
2025-01-02,Doha,42.7,90,39.6,2.65,Cloudy
2025-01-02,Cairo,27.7,23,30.9,0.0,Partly Cloudy
2025-01-02,London,10.7,73,7.1,7.62,Foggy
2025-01-02,New York,26.6,63,27.2,2.89,Cloudy
2025-01-02,Tokyo,27.0,64,26.5,3.35,Rainy
2025-01-02,Paris,36.2,64,14.6,3.58,Sunny
2025-01-02,Sydney,12.2,28,2.8,0.0,Windy
2025-01-02,Toronto,36.9,47,29.7,13.94,Cloudy
2025-01-02,Berlin,34.6,77,0.1,0.6,Cloudy
2025-01-02,Mumbai,8.3,77,35.9,0.0,Foggy
2025-01-02,Singapore,17.5,38,35.6,0.24,Rainy
2025-01-03,Riyadh,25.2,88,8.2,0.0,Windy
2025-01-03,Jeddah,13.0,59,23.8,11.97,Stormy
2025-01-03,Dammam,40.6,26,5.5,0.0,Sunny
2025-01-03,Dubai,9.3,94,35.8,2.07,Rainy
2025-01-03,Doha,27.0,35,0.4,5.28,Cloudy
2025-01-03,Cairo,11.8,94,16.2,0.0,Stormy
2025-01-03,London,14.8,76,22.9,4.72,Partly Cloudy
2025-01-03,New York,21.9,53,32.0,0.0,Foggy
2025-01-03,Tokyo,31.9,75,36.7,7.44,Sunny
2025-01-03,Paris,7.7,32,20.9,8.54,Foggy
2025-01-03,Sydney,33.5,48,39.0,2.56,Windy
2025-01-03,Toronto,14.1,56,12.4,3.43,Foggy
2025-01-03,Berlin,39.8,55,21.5,3.64,Windy
2025-01-03,Mumbai,11.3,48,12.9,9.02,Foggy
2025-01-03,Singapore,35.2,70,33.1,1.72,Cloudy
2025-01-04,Riyadh,14.2,45,7.3,0.89,Cloudy
2025-01-04,Jeddah,17.4,67,0.7,11.62,Partly Cloudy
2025-01-04,Dammam,30.2,88,21.9,9.96,Windy
2025-01-04,Dubai,37.0,41,17.2,0.0,Windy
2025-01-04,Doha,8.1,24,1.5,0.0,Rainy
2025-01-04,Cairo,24.7,21,6.6,2.17,Sunny
2025-01-04,London,33.1,70,26.2,0.08,Windy
2025-01-04,New York,41.9,80,14.5,1.84,Foggy
2025-01-04,Tokyo,23.6,78,3.4,9.41,Cloudy
2025-01-04,Paris,19.1,77,17.3,8.41,Sunny
2025-01-04,Sydney,19.5,26,25.9,1.37,Stormy
2025-01-04,Toronto,7.2,58,11.5,0.0,Stormy
2025-01-04,Berlin,23.8,79,11.7,0.6,Cloudy
2025-01-04,Mumbai,30.1,39,24.3,0.0,Rainy
2025-01-04,Singapore,44.8,66,2.9,6.38,Stormy
2025-01-05,Riyadh,28.1,34,0.9,7.87,Partly Cloudy
2025-01-05,Jeddah,42.8,43,29.8,3.26,Partly Cloudy
2025-01-05,Dammam,38.9,69,3.8,0.0,Sunny
2025-01-05,Dubai,8.0,39,35.5,4.26,Stormy
2025-01-05,Doha,27.0,84,11.1,0.0,Sunny
2025-01-05,Cairo,23.7,74,7.4,0.0,Cloudy
2025-01-05,London,39.0,36,19.0,11.78,Foggy
2025-01-05,New York,41.5,52,38.5,2.99,Rainy
2025-01-05,Tokyo,8.2,65,11.3,0.0,Partly Cloudy
2025-01-05,Paris,16.7,49,10.4,0.0,Partly Cloudy
